Year Month Day Hour Minute CPU_Power_Use_(W)
2023 8 24 18 7 118
2023 8 24 18 8 112
2023 8 24 18 9 114
2023 8 24 18 10 117
2023 8 24 18 12 113
2023 8 24 18 14 117
2023 8 24 18 15 118
2023 8 24 18 16 117
2023 8 24 18 17 109
2023 8 24 18 19 109
2023 8 24 18 20 112
2023 8 24 18 21 110
2023 8 24 18 22 117
2023 8 24 18 23 118
2023 8 24 18 24 117
2023 8 24 18 25 77
2023 8 24 18 27 106
2023 8 24 18 28 105
2023 8 24 18 29 113
2023 8 24 18 30 112
2023 8 24 18 31 116
2023 8 24 18 33 115
2023 8 24 18 34 107
2023 8 24 18 35 104
2023 8 24 18 37 117
2023 8 24 18 38 117
2023 8 24 18 40 114
2023 8 24 18 41 117
2023 8 24 18 43 118
2023 8 24 18 44 117
2023 8 24 18 45 118
2023 8 24 18 46 118
2023 8 24 18 47 111
2023 8 24 18 48 103
2023 8 24 18 50 116
2023 8 24 18 52 111
2023 8 24 18 53 110
2023 8 24 18 54 117
2023 8 24 18 55 112
2023 8 24 18 56 114
2023 8 24 18 58 115
2023 8 24 18 59 117
2023 8 24 19 0 116
2023 8 24 19 1 111
2023 8 24 19 3 115
2023 8 24 19 7 116
2023 8 24 19 8 112
2023 8 24 19 9 77
2023 8 24 19 10 116
2023 8 24 19 11 113
2023 8 24 19 12 111
2023 8 24 19 15 109
2023 8 24 19 16 112
2023 8 24 19 18 98
2023 8 24 19 19 103
2023 8 24 19 20 114
2023 8 24 19 21 114
2023 8 24 19 22 109
2023 8 24 19 23 111
2023 8 24 19 24 112
2023 8 24 19 25 112
2023 8 24 19 26 111
2023 8 24 19 27 112
2023 8 24 19 28 111
2023 8 24 19 29 115
2023 8 24 19 32 116
2023 8 24 19 33 116
2023 8 24 19 36 113
2023 8 24 19 39 116
2023 8 24 19 41 112
2023 8 24 19 42 116
2023 8 24 19 46 115
2023 8 24 19 47 115
2023 8 24 19 49 115
2023 8 24 19 50 111
2023 8 24 19 51 109
2023 8 24 19 53 114
2023 8 24 19 56 116
2023 8 24 19 58 112
2023 8 24 19 59 118
2023 8 24 20 0 81
2023 8 24 20 1 115
2023 8 24 20 3 113
2023 8 24 20 4 110
2023 8 24 20 5 110
2023 8 24 20 6 112
2023 8 24 20 7 108
2023 8 24 20 8 113
2023 8 24 20 9 113
2023 8 24 20 10 115
2023 8 24 20 11 113
2023 8 24 20 12 113
2023 8 24 20 13 117
2023 8 24 20 15 114
2023 8 24 20 16 116
2023 8 24 20 17 114
2023 8 24 20 19 110
2023 8 24 20 20 110
2023 8 24 20 22 106
2023 8 24 20 23 111
2023 8 24 20 24 114
2023 8 24 20 25 77
2023 8 24 20 27 114
2023 8 24 20 28 114
2023 8 24 20 29 114
2023 8 24 20 31 114
2023 8 24 20 32 77
2023 8 24 20 33 113
2023 8 24 20 36 115
2023 8 24 20 38 102
2023 8 24 20 39 111
2023 8 24 20 41 117
2023 8 24 20 42 115
2023 8 24 20 46 79
2023 8 24 20 48 108
2023 8 24 20 49 109
2023 8 24 20 50 118
2023 8 24 20 51 118
2023 8 24 20 52 118
2023 8 24 20 53 112
2023 8 24 20 54 114
2023 8 24 20 55 119
2023 8 24 20 57 115
2023 8 24 20 58 115
2023 8 24 20 59 117
2023 8 24 21 0 116
2023 8 24 21 1 117
2023 8 24 21 4 109
2023 8 24 21 5 106
2023 8 24 21 10 114
2023 8 24 21 11 109
2023 8 24 21 12 114
2023 8 24 21 13 115
2023 8 24 21 14 114
2023 8 24 21 15 113
2023 8 24 21 16 113
2023 8 24 21 17 114
2023 8 24 21 21 116
2023 8 24 21 22 113
2023 8 24 21 23 116
2023 8 24 21 24 115
2023 8 24 21 25 118
2023 8 24 21 26 118
2023 8 24 21 27 114
2023 8 24 21 28 77
2023 8 24 21 31 116
2023 8 24 21 32 113
2023 8 24 21 35 77
2023 8 24 21 36 115
2023 8 24 21 40 112
2023 8 24 21 41 118
2023 8 24 21 45 116
2023 8 24 21 46 118
2023 8 24 21 47 118
2023 8 24 21 48 118
2023 8 24 21 49 87
2023 8 24 21 50 116
2023 8 24 21 51 114
2023 8 24 21 52 114
2023 8 24 21 53 116
2023 8 24 21 55 112
2023 8 24 21 56 116
2023 8 24 21 58 118
2023 8 24 22 2 117
2023 8 24 22 3 118
2023 8 24 22 5 116
2023 8 24 22 6 117
2023 8 24 22 7 115
2023 8 24 22 8 115
2023 8 24 22 9 118
2023 8 24 22 10 116
2023 8 24 22 11 115
2023 8 24 22 12 80
2023 8 24 22 13 111
2023 8 24 22 14 117
2023 8 24 22 16 116
2023 8 24 22 17 116
2023 8 24 22 18 116
2023 8 24 22 19 77
2023 8 24 22 20 114
2023 8 24 22 22 111
2023 8 24 22 24 111
2023 8 24 22 25 114
2023 8 24 22 26 117
2023 8 24 22 27 107
2023 8 24 22 28 116
2023 8 24 22 30 118
2023 8 24 22 31 115
2023 8 24 22 32 117
2023 8 24 22 33 118
2023 8 24 22 34 113
2023 8 24 22 35 116
2023 8 24 22 36 116
2023 8 24 22 37 77
2023 8 24 22 38 107
2023 8 24 22 41 109
2023 8 24 22 42 107
2023 8 24 22 44 117
2023 8 24 22 47 115
2023 8 24 22 48 118
2023 8 24 22 50 117
2023 8 24 22 51 113
2023 8 24 22 52 113
2023 8 24 22 53 118
2023 8 24 22 54 117
2023 8 24 22 55 115
2023 8 24 22 56 115
2023 8 24 22 57 117
2023 8 24 22 58 77
2023 8 24 22 59 116
2023 8 24 23 1 118
2023 8 24 23 2 116
2023 8 24 23 3 112
2023 8 24 23 5 117
2023 8 24 23 6 114
2023 8 24 23 7 112
2023 8 24 23 8 110
2023 8 24 23 10 116
2023 8 24 23 11 114
2023 8 24 23 12 112
2023 8 24 23 13 115
2023 8 24 23 14 115
2023 8 24 23 16 117
2023 8 24 23 17 118
2023 8 24 23 18 112
2023 8 24 23 19 116
2023 8 24 23 21 114
2023 8 24 23 22 114
2023 8 24 23 24 117
2023 8 24 23 25 115
2023 8 24 23 26 113
2023 8 24 23 28 78
2023 8 24 23 29 118
2023 8 24 23 30 116
2023 8 24 23 32 115
2023 8 24 23 33 110
2023 8 24 23 34 112
2023 8 24 23 35 114
2023 8 24 23 36 114
2023 8 24 23 37 78
2023 8 24 23 38 118
2023 8 24 23 39 118
2023 8 24 23 40 118
2023 8 24 23 41 116
2023 8 24 23 42 116
2023 8 24 23 43 117
2023 8 24 23 45 113
2023 8 24 23 46 118
2023 8 24 23 47 119
2023 8 24 23 49 116
2023 8 24 23 50 117
2023 8 24 23 52 118
2023 8 24 23 53 112
2023 8 24 23 54 113
2023 8 24 23 55 113
2023 8 24 23 57 117
2023 8 25 0 0 78
2023 8 25 0 1 117
2023 8 25 0 4 117
2023 8 25 0 5 117
2023 8 25 0 7 115
2023 8 25 0 8 116
2023 8 25 0 10 116
2023 8 25 0 12 116
2023 8 25 0 14 115
2023 8 25 0 15 115
2023 8 25 0 17 117
2023 8 25 0 18 118
2023 8 25 0 19 77
2023 8 25 0 20 117
2023 8 25 0 21 77
2023 8 25 0 22 117
2023 8 25 0 24 113
2023 8 25 0 25 118
2023 8 25 0 26 118
2023 8 25 0 27 116
2023 8 25 0 29 115
2023 8 25 0 30 118
2023 8 25 0 31 118
2023 8 25 0 32 117
2023 8 25 0 33 77
2023 8 25 0 34 116
2023 8 25 0 35 113
2023 8 25 0 36 115
2023 8 25 0 38 114
2023 8 25 0 39 115
2023 8 25 0 40 113
2023 8 25 0 41 115
2023 8 25 0 42 116
2023 8 25 0 43 114
2023 8 25 0 45 77
2023 8 25 0 46 113
2023 8 25 0 47 117
2023 8 25 0 48 116
2023 8 25 0 50 113
2023 8 25 0 51 115
2023 8 25 0 52 78
2023 8 25 0 53 111
2023 8 25 0 55 116
2023 8 25 0 56 113
2023 8 25 0 57 116
2023 8 25 0 58 117
2023 8 25 0 59 77
2023 8 25 1 0 114
2023 8 25 1 1 117
2023 8 25 1 2 117
2023 8 25 1 3 118
2023 8 25 1 4 116
2023 8 25 1 5 117
2023 8 25 1 6 100
2023 8 25 1 7 116
2023 8 25 1 8 117
2023 8 25 1 10 115
2023 8 25 1 11 114
2023 8 25 1 13 116
2023 8 25 1 14 117
2023 8 25 1 15 118
2023 8 25 1 16 118
2023 8 25 1 17 114
2023 8 25 1 18 112
2023 8 25 1 19 115
2023 8 25 1 21 110
2023 8 25 1 22 112
2023 8 25 1 23 112
2023 8 25 1 25 115
2023 8 25 1 26 118
2023 8 25 1 29 115
2023 8 25 1 30 116
2023 8 25 1 31 115
2023 8 25 1 32 103
2023 8 25 1 33 101
2023 8 25 1 34 117
2023 8 25 1 35 114
2023 8 25 1 36 119
2023 8 25 1 37 119
2023 8 25 1 38 118
2023 8 25 1 41 116
2023 8 25 1 42 116
2023 8 25 1 43 116
2023 8 25 1 44 114
2023 8 25 1 49 116
2023 8 25 1 50 116
2023 8 25 1 54 117
2023 8 25 1 55 115
2023 8 25 1 56 118
2023 8 25 1 58 115
2023 8 25 1 59 115
2023 8 25 2 0 114
2023 8 25 2 1 113
2023 8 25 2 2 117
2023 8 25 2 3 119
2023 8 25 2 4 114
2023 8 25 2 6 114
2023 8 25 2 7 77
2023 8 25 2 8 116
2023 8 25 2 9 118
2023 8 25 2 10 118
2023 8 25 2 13 109
2023 8 25 2 14 93
2023 8 25 2 15 116
2023 8 25 2 16 114
2023 8 25 2 17 116
2023 8 25 2 18 113
2023 8 25 2 19 113
2023 8 25 2 21 118
2023 8 25 2 22 118
2023 8 25 2 27 118
2023 8 25 2 28 113
2023 8 25 2 30 114
2023 8 25 2 31 113
2023 8 25 2 33 116
2023 8 25 2 34 117
2023 8 25 2 35 116
2023 8 25 2 36 117
2023 8 25 2 37 113
2023 8 25 2 38 112
2023 8 25 2 40 118
2023 8 25 2 41 116
2023 8 25 2 42 83
2023 8 25 2 43 114
2023 8 25 2 44 114
2023 8 25 2 45 111
2023 8 25 2 46 116
2023 8 25 2 47 117
2023 8 25 2 48 118
2023 8 25 2 49 106
2023 8 25 2 50 119
2023 8 25 2 51 117
2023 8 25 2 52 117
2023 8 25 2 53 118
2023 8 25 2 54 118
2023 8 25 2 56 115
2023 8 25 2 57 118
2023 8 25 2 58 116
2023 8 25 2 59 117
2023 8 25 3 0 109
2023 8 25 3 1 116
2023 8 25 3 2 116
2023 8 25 3 4 106
2023 8 25 3 6 116
2023 8 25 3 7 115
2023 8 25 3 8 116
2023 8 25 3 9 117
2023 8 25 3 11 118
2023 8 25 3 12 113
2023 8 25 3 13 114
2023 8 25 3 14 119
2023 8 25 3 16 112
2023 8 25 3 19 106
2023 8 25 3 20 106
2023 8 25 3 21 112
2023 8 25 3 22 113
2023 8 25 3 24 117
2023 8 25 3 25 117
2023 8 25 3 27 111
2023 8 25 3 29 77
2023 8 25 3 30 118
2023 8 25 3 32 117
2023 8 25 3 33 114
2023 8 25 3 34 116
2023 8 25 3 35 117
2023 8 25 3 36 116
2023 8 25 3 37 116
2023 8 25 3 39 114
2023 8 25 3 40 100
2023 8 25 3 41 105
2023 8 25 3 42 112
2023 8 25 3 44 110
2023 8 25 3 45 108
2023 8 25 3 48 115
2023 8 25 3 49 114
2023 8 25 3 50 116
2023 8 25 3 51 118
2023 8 25 3 52 118
2023 8 25 3 53 108
2023 8 25 3 54 110
2023 8 25 3 55 118
2023 8 25 3 56 117
2023 8 25 3 57 115
2023 8 25 3 58 112
2023 8 25 4 0 116
2023 8 25 4 1 117
2023 8 25 4 2 114
2023 8 25 4 3 116
2023 8 25 4 4 117
2023 8 25 4 5 77
2023 8 25 4 6 115
2023 8 25 4 7 114
2023 8 25 4 8 114
2023 8 25 4 10 115
2023 8 25 4 11 112
2023 8 25 4 13 115
2023 8 25 4 14 118
2023 8 25 4 17 114
2023 8 25 4 19 77
2023 8 25 4 20 109
2023 8 25 4 22 116
2023 8 25 4 23 114
2023 8 25 4 24 112
2023 8 25 4 25 116
2023 8 25 4 26 116
2023 8 25 4 27 118
2023 8 25 4 28 118
2023 8 25 4 29 116
2023 8 25 4 30 114
2023 8 25 4 31 116
2023 8 25 4 32 114
2023 8 25 4 33 113
2023 8 25 4 34 112
2023 8 25 4 35 90
2023 8 25 4 36 114
2023 8 25 4 37 115
2023 8 25 4 38 116
2023 8 25 4 39 117
2023 8 25 4 40 118
2023 8 25 4 41 115
2023 8 25 4 42 116
2023 8 25 4 43 115
2023 8 25 4 45 109
2023 8 25 4 47 115
2023 8 25 4 48 115
2023 8 25 4 52 77
2023 8 25 4 55 117
2023 8 25 4 59 117
2023 8 25 5 0 117
2023 8 25 5 1 116
2023 8 25 5 2 115
2023 8 25 5 3 116
2023 8 25 5 5 118
2023 8 25 5 6 118
2023 8 25 5 7 114
2023 8 25 5 8 115
2023 8 25 5 10 114
2023 8 25 5 11 113
2023 8 25 5 13 99
2023 8 25 5 15 119
2023 8 25 5 16 117
2023 8 25 5 17 116
2023 8 25 5 18 117
2023 8 25 5 19 118
2023 8 25 5 20 116
2023 8 25 5 21 116
2023 8 25 5 22 92
2023 8 25 5 23 113
2023 8 25 5 24 111
2023 8 25 5 26 113
2023 8 25 5 27 112
2023 8 25 5 28 112
2023 8 25 5 29 77
2023 8 25 5 31 119
2023 8 25 5 32 118
2023 8 25 5 33 113
2023 8 25 5 34 116
2023 8 25 5 36 116
2023 8 25 5 38 114
2023 8 25 5 41 77
2023 8 25 5 43 117
2023 8 25 5 45 113
2023 8 25 5 46 115
2023 8 25 5 48 118
2023 8 25 5 51 114
2023 8 25 5 52 116
2023 8 25 5 53 118
2023 8 25 5 54 117
2023 8 25 5 55 118
2023 8 25 5 56 116
2023 8 25 5 59 118
2023 8 25 6 1 110
2023 8 25 6 2 114
2023 8 25 6 3 115
2023 8 25 6 4 114
2023 8 25 6 5 112
2023 8 25 6 6 114
2023 8 25 6 7 116
2023 8 25 6 8 118
2023 8 25 6 12 108
2023 8 25 6 14 110
2023 8 25 6 15 113
2023 8 25 6 16 98
2023 8 25 6 17 116
2023 8 25 6 18 114
2023 8 25 6 23 114
2023 8 25 6 25 110
2023 8 25 6 26 118
2023 8 25 6 28 113
2023 8 25 6 29 103
2023 8 25 6 31 106
2023 8 25 6 32 106
2023 8 25 6 33 113
2023 8 25 6 34 114
2023 8 25 6 35 117
2023 8 25 6 37 114
2023 8 25 6 38 77
2023 8 25 6 39 118
2023 8 25 6 40 118
2023 8 25 6 41 118
2023 8 25 6 44 113
2023 8 25 6 45 116
2023 8 25 6 46 116
2023 8 25 6 47 116
2023 8 25 6 48 112
2023 8 25 6 49 116
2023 8 25 6 50 78
2023 8 25 6 51 117
2023 8 25 6 52 112
2023 8 25 6 53 110
2023 8 25 6 54 114
2023 8 25 6 55 114
2023 8 25 6 57 118
2023 8 25 6 58 112
2023 8 25 7 0 115
2023 8 25 7 3 118
2023 8 25 7 4 117
2023 8 25 7 5 119
2023 8 25 7 6 118
2023 8 25 7 8 115
2023 8 25 7 9 116
2023 8 25 7 10 118
2023 8 25 7 12 118
2023 8 25 7 13 117
2023 8 25 7 15 118
2023 8 25 7 16 116
2023 8 25 7 17 117
2023 8 25 7 18 78
2023 8 25 7 19 114
2023 8 25 7 20 118
2023 8 25 7 21 118
2023 8 25 7 22 115
2023 8 25 7 23 116
2023 8 25 7 24 111
2023 8 25 7 25 110
2023 8 25 7 26 115
2023 8 25 7 27 77
2023 8 25 7 29 117
2023 8 25 7 31 116
2023 8 25 7 32 118
2023 8 25 7 33 118
2023 8 25 7 34 118
2023 8 25 7 36 114
2023 8 25 7 37 113
2023 8 25 7 38 116
2023 8 25 7 39 114
2023 8 25 7 40 113
2023 8 25 7 41 114
2023 8 25 7 43 114
2023 8 25 7 44 110
2023 8 25 7 45 118
2023 8 25 7 46 118
2023 8 25 7 47 117
2023 8 25 7 48 119
2023 8 25 7 49 117
2023 8 25 7 51 116
2023 8 25 7 52 114
2023 8 25 7 53 116
2023 8 25 7 54 115
2023 8 25 7 55 115
2023 8 25 7 56 116
2023 8 25 7 59 118
2023 8 25 8 0 117
2023 8 25 8 1 116
2023 8 25 8 2 114
2023 8 25 8 3 115
2023 8 25 8 4 115
2023 8 25 8 5 110
2023 8 25 8 6 116
2023 8 25 8 8 115
2023 8 25 8 9 115
2023 8 25 8 10 116
2023 8 25 8 11 108
2023 8 25 8 12 98
2023 8 25 8 14 114
2023 8 25 8 15 110
2023 8 25 8 16 116
2023 8 25 8 19 117
2023 8 25 8 20 114
2023 8 25 8 21 113
2023 8 25 8 22 114
2023 8 25 8 23 115
2023 8 25 8 24 116
2023 8 25 8 25 114
2023 8 25 8 26 114
2023 8 25 8 27 117
2023 8 25 8 28 117
2023 8 25 8 29 116
2023 8 25 8 30 118
2023 8 25 8 32 113
2023 8 25 8 34 117
2023 8 25 8 35 117
2023 8 25 8 37 118
2023 8 25 8 38 118
2023 8 25 8 40 81
2023 8 25 8 41 88
2023 8 25 8 42 75
2023 8 25 8 43 81
2023 8 25 8 44 103
2023 8 25 8 46 75
2023 8 25 8 47 75
2023 8 25 8 48 75
2023 8 25 8 49 97
2023 8 25 8 50 75
2023 8 25 8 51 84
2023 8 25 8 52 77
2023 8 25 8 53 75
2023 8 25 8 54 75
2023 8 25 8 56 74
2023 8 25 8 57 74
2023 8 25 8 58 75
2023 8 25 9 0 75
2023 8 25 9 1 74
2023 8 25 9 2 75
2023 8 25 9 3 75
2023 8 25 9 4 74
2023 8 25 9 5 74
2023 8 25 9 6 74
2023 8 25 9 7 74
2023 8 25 9 9 74
2023 8 25 9 10 75
2023 8 25 9 11 74
2023 8 25 9 12 74
2023 8 25 9 13 74
2023 8 25 9 14 74
2023 8 25 9 15 74
2023 8 25 9 16 74
2023 8 25 9 19 73
2023 8 25 9 20 74
2023 8 25 9 21 75
2023 8 25 9 22 74
2023 8 25 9 23 75
2023 8 25 9 24 75
2023 8 25 9 25 75
2023 8 25 9 26 74
2023 8 25 9 27 74
2023 8 25 9 28 74
2023 8 25 9 30 75
2023 8 25 9 31 74
2023 8 25 9 32 74
2023 8 25 9 33 75
2023 8 25 9 34 74
2023 8 25 9 35 75
2023 8 25 9 36 75
2023 8 25 9 37 74
2023 8 25 9 40 74
2023 8 25 9 41 74
2023 8 25 9 42 74
2023 8 25 9 43 75
2023 8 25 9 44 74
2023 8 25 9 45 75
2023 8 25 9 46 75
2023 8 25 9 47 75
2023 8 25 9 49 74
2023 8 25 9 50 74
2023 8 25 9 51 74
2023 8 25 9 52 74
2023 8 25 9 53 75
2023 8 25 9 54 75
2023 8 25 9 55 75
2023 8 25 9 56 75
2023 8 25 9 57 75
2023 8 25 9 59 74
2023 8 25 10 0 74
2023 8 25 10 1 74
2023 8 25 10 2 75
2023 8 25 10 3 74
2023 8 25 10 4 75
2023 8 25 10 5 74
2023 8 25 10 7 75
2023 8 25 10 8 74
2023 8 25 10 9 74
2023 8 25 10 10 74
2023 8 25 10 11 74
2023 8 25 10 12 75
2023 8 25 10 13 74
2023 8 25 10 15 74
2023 8 25 10 16 74
2023 8 25 10 17 74
2023 8 25 10 18 74
2023 8 25 10 19 74
2023 8 25 10 20 74
2023 8 25 10 21 75
2023 8 25 10 23 74
2023 8 25 10 24 74
2023 8 25 10 25 74
2023 8 25 10 26 74
2023 8 25 10 27 74
2023 8 25 10 28 75
2023 8 25 10 29 74
2023 8 25 10 30 74
2023 8 25 10 31 74
2023 8 25 10 32 74
2023 8 25 10 33 74
2023 8 25 10 35 74
2023 8 25 10 36 74
2023 8 25 10 37 75
2023 8 25 10 38 74
2023 8 25 10 39 74
2023 8 25 10 40 74
2023 8 25 10 42 74
2023 8 25 10 43 74
2023 8 25 10 44 74
2023 8 25 10 45 74
2023 8 25 10 46 74
2023 8 25 10 47 74
2023 8 25 10 49 74
2023 8 25 10 50 74
2023 8 25 10 51 74
2023 8 25 10 52 75
2023 8 25 10 53 74
2023 8 25 10 55 74
2023 8 25 10 56 74
2023 8 25 10 57 74
2023 8 25 10 58 99
2023 8 25 10 59 81
